File Name,Year,Positive,Negative,Neutral,Compound
fomcminutes20140129.txt,2014,0.089,0.029,0.882,1.0
fomcminutes20140319.txt,2014,0.082,0.056,0.862,0.9999
fomcminutes20140430.txt,2014,0.095,0.042,0.862,0.9999
fomcminutes20140618.txt,2014,0.083,0.051,0.866,0.9999
fomcminutes20140730.txt,2014,0.099,0.039,0.862,0.9999
fomcminutes20140917.txt,2014,0.075,0.048,0.877,0.9999
fomcminutes20141029.txt,2014,0.108,0.039,0.854,1.0
fomcminutes20141217.txt,2014,0.079,0.046,0.874,0.9999
fomcminutes20150128.txt,2015,0.085,0.028,0.887,1.0
fomcminutes20150318.txt,2015,0.079,0.047,0.873,0.9999
fomcminutes20150429.txt,2015,0.104,0.05,0.846,0.9999
fomcminutes20150617.txt,2015,0.083,0.047,0.87,0.9999
fomcminutes20150729.txt,2015,0.103,0.039,0.857,1.0
fomcminutes20150917.txt,2015,0.083,0.052,0.865,0.9999
fomcminutes20151028.txt,2015,0.103,0.047,0.849,0.9999
fomcminutes20151216.txt,2015,0.079,0.057,0.864,0.9998
fomcminutes20160127.txt,2016,0.089,0.035,0.876,1.0
fomcminutes20160316.txt,2016,0.084,0.06,0.857,0.9999
fomcminutes20160427.txt,2016,0.105,0.048,0.847,1.0
fomcminutes20160615.txt,2016,0.08,0.056,0.864,0.9999
fomcminutes20160727.txt,2016,0.113,0.05,0.838,1.0
fomcminutes20160921.txt,2016,0.078,0.05,0.871,0.9999
fomcminutes20161102.txt,2016,0.102,0.043,0.856,1.0
fomcminutes20161214.txt,2016,0.085,0.054,0.861,0.9999
fomcminutes20170201.txt,2017,0.087,0.035,0.878,1.0
fomcminutes20170315.txt,2017,0.086,0.057,0.857,0.9999
fomcminutes20170503.txt,2017,0.097,0.047,0.856,0.9999
fomcminutes20170614.txt,2017,0.076,0.058,0.866,0.9998
fomcminutes20170726.txt,2017,0.087,0.054,0.858,0.9998
fomcminutes20170920.txt,2017,0.072,0.059,0.868,0.9996
fomcminutes20171101.txt,2017,0.088,0.044,0.868,0.9999
fomcminutes20171213.txt,2017,0.081,0.059,0.859,0.9999
fomcminutes20180131.txt,2018,0.1,0.034,0.866,1.0
fomcminutes20180321.txt,2018,0.084,0.06,0.856,0.9999
fomcminutes20180502.txt,2018,0.095,0.038,0.867,0.9999
fomcminutes20180613.txt,2018,0.081,0.058,0.86,0.9999
fomcminutes20180801.txt,2018,0.102,0.053,0.845,0.9999
fomcminutes20180926.txt,2018,0.086,0.06,0.854,0.9999
fomcminutes20181108.txt,2018,0.105,0.051,0.843,0.9999
fomcminutes20181219.txt,2018,0.079,0.064,0.857,0.9998
fomcminutes20190130.txt,2019,0.088,0.034,0.878,1.0
fomcminutes20190320.txt,2019,0.079,0.066,0.855,0.9996
fomcminutes20190501.txt,2019,0.095,0.043,0.862,0.9999
fomcminutes20190619.txt,2019,0.076,0.072,0.852,0.9942
fomcminutes20190731.txt,2019,0.096,0.057,0.848,0.9999
fomcminutes20190918.txt,2019,0.075,0.07,0.855,0.9983
fomcminutes20191030.txt,2019,0.093,0.054,0.853,0.9999
fomcminutes20191211.txt,2019,0.078,0.066,0.856,0.9995
fomcminutes20200129.txt,2020,0.086,0.036,0.878,1.0
fomcminutes20200315.txt,2020,0.102,0.065,0.833,0.9999
fomcminutes20200429.txt,2020,0.104,0.069,0.827,0.9999
fomcminutes20200610.txt,2020,0.087,0.066,0.847,0.9998
fomcminutes20200729.txt,2020,0.099,0.051,0.85,0.9999
fomcminutes20200916.txt,2020,0.102,0.047,0.851,1.0
fomcminutes20201105.txt,2020,0.103,0.049,0.848,0.9999
fomcminutes20201216.txt,2020,0.112,0.049,0.839,1.0
fomcminutes20210127.txt,2021,0.095,0.041,0.864,1.0
fomcminutes20210317.txt,2021,0.107,0.043,0.85,1.0
fomcminutes20210428.txt,2021,0.11,0.048,0.842,1.0
fomcminutes20210616.txt,2021,0.11,0.045,0.845,1.0
fomcminutes20210728.txt,2021,0.116,0.043,0.841,1.0
fomcminutes20210922.txt,2021,0.109,0.043,0.848,1.0
fomcminutes20211103.txt,2021,0.122,0.047,0.831,1.0
fomcminutes20211215.txt,2021,0.11,0.036,0.854,1.0
fomcminutes20220126.txt,2022,0.098,0.034,0.869,1.0
fomcminutes20220316.txt,2022,0.106,0.049,0.844,0.9999
fomcminutes20220504.txt,2022,0.103,0.051,0.846,0.9999
fomcminutes20220615.txt,2022,0.092,0.046,0.862,0.9999
fomcminutes20220727.txt,2022,0.104,0.058,0.838,0.9999
fomcminutes20220921.txt,2022,0.099,0.06,0.841,0.9999
fomcminutes20221102.txt,2022,0.103,0.053,0.845,0.9999
fomcminutes20221214.txt,2022,0.098,0.051,0.85,0.9999
fomcminutes20230201.txt,2023,0.105,0.052,0.843,0.9999
fomcminutes20230322.txt,2023,0.091,0.048,0.86,0.9999
fomcminutes20230503.txt,2023,0.096,0.059,0.845,0.9999
fomcminutes20230614.txt,2023,0.095,0.045,0.859,0.9999
fomcminutes20230726.txt,2023,0.102,0.054,0.845,0.9999
fomcminutes20230920.txt,2023,0.1,0.051,0.85,0.9999
fomcminutes20231101.txt,2023,0.107,0.05,0.843,0.9999
fomcminutes20231213.txt,2023,0.107,0.04,0.852,0.9999
fomcminutes20240131.txt,2024,0.109,0.046,0.845,0.9999
fomcminutes20240320.txt,2024,0.104,0.042,0.854,0.9999
fomcminutes20240501.txt,2024,0.124,0.049,0.827,1.0
